gene,gene_id,chr_accession,start,end,strand,length
MYPN,84665,NC_000010.11,68087897,68212017,+,124121
HRAS,3265,NC_000011.10,532242,535576,-,3335
KLHL24,54800,NC_000003.12,183635623,183684519,+,48897
MCEE,84693,NC_000002.12,71109687,71130229,-,20543
MYO18B,84700,NC_000022.11,25742188,26063847,+,321660
SCN5A,6331,NC_000003.12,38548062,38649687,-,101626
ALPK3,57538,NC_000015.10,84817356,84873479,+,56124
TMEM70,54968,NC_000008.11,73976195,73982783,+,6589
AARS2,57505,NC_000006.12,44298731,44313347,-,14617
SHOC2,8036,NC_000010.11,110919370,111013665,+,94296
GAA,2548,NC_000017.11,80101581,80119881,+,18301
PYGL,5836,NC_000014.9,50905217,50944483,-,39267
SCO2,9997,NC_000022.11,50523568,50526442,-,2875
RIT1,64919,NC_000014.9,99169287,99272197,-,102911
NRAS,4893,NC_000001.11,114704469,114716771,-,12303
COQ9,57017,NC_000016.10,57447479,57461270,+,13792
KCNH2,3757,NC_000007.14,150944961,150978321,-,33361
MAPK1,5594,NC_000022.11,21759657,21867680,-,108024
NDUFA11,126328,NC_000019.10,5891229,5903790,-,12562
NDUFS8,4728,NC_000011.10,68030681,68036644,+,5964
TNNC1,7137,NC_000019.10,55151767,55157732,-,5966
GTPBP3,84705,NC_000019.10,17334982,17342731,+,7750
MYH7B,57644,NC_000020.11,34955868,35002437,+,46570
MYH7,4625,NC_000014.9,23412740,23435660,-,22921
TTN,7276,NC_000018.10,31591877,31598821,+,6945
SUCLG1,8802,NC_000002.12,84423528,84459280,-,35753
IDUA,3425,NC_000004.12,986997,1004564,+,17568
ACTN2,88,NC_000001.11,236686499,236764631,+,78133
BSCL2,26580,NC_000011.10,62690262,62709537,-,19276
NDUFAF1,51103,NC_000015.10,41387353,41403026,-,15674
HADHB,3032,NC_000002.12,26244939,26290465,+,45527
TMEM43,79188,NC_000003.12,14125052,14143680,+,18629
MTO1,25821,NC_000006.12,73461737,73509236,+,47500
TPM1,7168,NC_000015.10,63042747,63071915,+,29169
TRIM63,84676,NC_000001.11,26051301,26067630,-,16330
LMNA,4000,NC_000001.11,156082573,156140081,+,57509
ETFDH,2110,NC_000004.12,158672296,158709623,+,37328
FNIP1,96459,NC_000005.10,131641714,131797017,-,155304
SLC25A20,788,NC_000003.12,48856926,48898882,-,41957
MYH6,4624,NC_000014.9,23381987,23408273,-,26287
MAP2K1,5604,NC_000015.10,66386912,66491544,+,104633
COQ7,10229,NC_000016.10,19067614,19083097,+,15484
FLAD1,80308,NC_000001.11,154983344,154993111,+,9768
TNNT2,7139,NC_000001.11,201359014,201377680,-,18667
ELAC2,60528,NC_000017.11,12991612,13018027,-,26416
MYBPC3,4607,NC_000011.10,47331406,47352702,-,21297
FOXRED1,55572,NC_000011.10,126269154,126278126,+,8973
SOS2,6655,NC_000014.9,50117130,50231882,-,114753
RAF1,5894,NC_000003.12,12583601,12664117,-,80517
GJB2,2706,NC_000013.11,20187470,20192938,-,5469
NNT,23530,NC_000005.10,43602675,43707396,+,104722
PKP2,5318,NC_000012.12,32790755,32896777,-,106023
FBXL4,26235,NC_000006.12,98868535,98947946,-,79412
CLN3,1201,NC_000016.10,28466653,28492082,-,25430
SOS1,6654,NC_000002.12,38981549,39124868,-,143320
COX15,1355,NC_000010.11,99694293,99732127,-,37835
MT-ATP6,4508,NC_012920.1,8527,9207,+,681
AGPAT2,10555,NC_000009.12,136673143,136687457,-,14315
COX7B,1349,NC_000023.11,77899468,77907376,+,7909
JPH2,57158,NC_000020.11,44106590,44187188,-,80599
SLC25A4,291,NC_000004.12,185143266,185150382,+,7117
MAP2K2,5605,NC_000019.10,4090321,4124122,-,33802
PIK3CA,5290,NC_000003.12,179148126,179240093,+,91968
NDUFA2,4695,NC_000005.10,140645285,140647630,-,2346
BRAF,673,NC_000007.14,140713328,140924929,-,211602
NDUFS2,4720,NC_000001.11,161197417,161214395,+,16979
SDHD,6392,NC_000011.10,112086873,112095794,+,8922
ETFB,2109,NC_000019.10,51345155,51366388,-,21234
LAMP2,3920,NC_000023.11,120426148,120469349,-,43202
RRAS2,22800,NC_000011.10,14277920,14364506,-,86587
TTR,7276,NC_000018.10,31591877,31598821,+,6945
HFE,3077,NC_000006.12,26087429,26098343,+,10915
