gene,start,end,chromosome,assembly
CACNB2,18140424,18543557,NC_000010.11,GRCh38.p14
MMUT,49430360,49463253,NC_000006.12,GRCh38.p14
MAP2K1,66386912,66491544,NC_000015.10,GRCh38.p14
NDUFA13,19516225,19528198,NC_000019.10,GRCh38.p14
JPH2,44106590,44187188,NC_000020.11,GRCh38.p14
SOS1,38981549,39124868,NC_000002.12,GRCh38.p14
BSCL2,62690262,62709537,NC_000011.10,GRCh38.p14
ETFDH,158672296,158709623,NC_000004.12,GRCh38.p14
TTR,31591877,31598821,NC_000018.10,GRCh38.p14
COX7B,77899468,77907376,NC_000023.11,GRCh38.p14
CLN3,28466653,28492082,NC_000016.10,GRCh38.p14
SLC25A3,98593686,98606367,NC_000012.12,GRCh38.p14
FBXL4,98868535,98947946,NC_000006.12,GRCh38.p14
