gene,gene_id,chr_accession,start,end,strand,length
BRAF,673,NC_000007.14,140713328.0,140924929.0,-,211602.0
AGK,55750,NC_000007.14,141551410.0,141655244.0,+,103835.0
KCNH2,3757,NC_000007.14,150944961.0,150978321.0,-,33361.0
PRKAG2,51422,NC_000007.14,151556127.0,151877115.0,-,320989.0
TMEM70,54968,NC_000008.11,73976195.0,73982783.0,+,6589.0
FXN,2395,NC_000009.12,69035752.0,69079076.0,+,43325.0
COQ4,51117,NC_000009.12,128322839.0,128334072.0,+,11234.0
PMPCA,23203,NC_000009.12,136410658.0,136423761.0,+,13104.0
AGPAT2,10555,NC_000009.12,136673143.0,136687457.0,-,14315.0
MYPN,84665,NC_000010.11,68087897.0,68212017.0,+,124121.0
PRF1,5551,NC_000010.11,70597348.0,70602741.0,-,5394.0
COX15,1355,NC_000010.11,99694293.0,99732127.0,-,37835.0
SHOC2,8036,NC_000010.11,110919370.0,111013665.0,+,94296.0
BAG3,9531,NC_000010.11,119651380.0,119677819.0,+,26440.0
HRAS,3265,NC_000011.10,532242.0,535576.0,-,3335.0
RRAS2,22800,NC_000011.10,14277920.0,14364506.0,-,86587.0
CSRP3,8048,NC_000011.10,19182030.0,19201983.0,-,19954.0
MYBPC3,4607,NC_000011.10,47331406.0,47352702.0,-,21297.0
BSCL2,26580,NC_000011.10,62690262.0,62709537.0,-,19276.0
NDUFS8,4728,NC_000011.10,68030681.0,68036644.0,+,5964.0
CRYAB,1410,NC_000011.10,111908564.0,111923740.0,-,15177.0
SDHD,6392,NC_000011.10,112086873.0,112095794.0,+,8922.0
CBL,867,NC_000011.10,119206339.0,119308149.0,+,101811.0
FOXRED1,55572,NC_000011.10,126269154.0,126278126.0,+,8973.0
CACNA1C,775,NC_000012.12,1970780.0,2697950.0,+,727171.0
TULP3,7289,NC_000012.12,2890891.0,2941138.0,+,50248.0
KRAS,3845,NC_000012.12,25205246.0,25250929.0,-,45684.0
PKP2,5318,NC_000012.12,32790755.0,32896777.0,-,106023.0
SLC25A3,5250,NC_000012.12,98593686.0,98606367.0,+,12682.0
MMAB,326625,NC_000012.12,109553715.0,109573504.0,-,19790.0
MYL2,4633,NC_000012.12,110910845.0,110921449.0,-,10605.0
PTPN11,5781,NC_000012.12,112418947.0,112509918.0,+,90972.0
GJB2,2706,NC_000013.11,20187470.0,20192938.0,-,5469.0
MYH6,4624,NC_000014.9,23381987.0,23408273.0,-,26287.0
MYH7,4625,NC_000014.9,23412740.0,23435660.0,-,22921.0
TINF2,26277,NC_000014.9,24239640.0,24242674.0,-,3035.0
SOS2,6655,NC_000014.9,50117130.0,50231882.0,-,114753.0
PYGL,5836,NC_000014.9,50905217.0,50944483.0,-,39267.0
ACTC1,70,NC_000015.10,34790230.0,34795549.0,-,5320.0
NDUFAF1,51103,NC_000015.10,41387353.0,41403026.0,-,15674.0
TPM1,7168,NC_000015.10,63042747.0,63071915.0,+,29169.0
MAP2K1,5604,NC_000015.10,66386912.0,66491544.0,+,104633.0
ETFA,2108,NC_000015.10,76215353.0,76311469.0,-,96117.0
ALPK3,57538,NC_000015.10,84817356.0,84873479.0,+,56124.0
COQ7,10229,NC_000016.10,19067614.0,19083097.0,+,15484.0
CLN3,1201,NC_000016.10,28466653.0,28492082.0,-,25430.0
COQ9,57017,NC_000016.10,57447479.0,57461270.0,+,13792.0
ACADVL,37,NC_000017.11,7217125.0,7225266.0,+,8142.0
ELAC2,60528,NC_000017.11,12991612.0,13018027.0,-,26416.0
COX10,1352,NC_000017.11,14069504.0,14208677.0,+,139174.0
TCAP,8557,NC_000017.11,39665349.0,39666554.0,+,1206.0
CAVIN1,284119,NC_000017.11,42402449.0,42423256.0,-,20808.0
GAA,2548,NC_000017.11,80101581.0,80119881.0,+,18301.0
TTR,7276,NC_000018.10,31591877.0,31598821.0,+,6945.0
MAP2K2,5605,NC_000019.10,4090321.0,4124122.0,-,33802.0
NDUFA11,126328,NC_000019.10,5891229.0,5903790.0,-,12562.0
GTPBP3,84705,NC_000019.10,17334982.0,17342731.0,+,7750.0
NDUFA13,51079,NC_000019.10,19516225.0,19528198.0,+,11974.0
ETFB,2109,NC_000019.10,51345155.0,51366388.0,-,21234.0
TNNI3,7137,NC_000019.10,55151767.0,55157732.0,-,5966.0
MYH7B,57644,NC_000020.11,34955868.0,35002437.0,+,46570.0
JPH2,57158,NC_000020.11,44106590.0,44187188.0,-,80599.0
LZTR1,8216,NC_000022.11,20982297.0,20999032.0,+,16736.0
MAPK1,5594,NC_000022.11,21759657.0,21867680.0,-,108024.0
MYO18B,84700,NC_000022.11,25742188.0,26063847.0,+,321660.0
SCO2,9997,NC_000022.11,50523568.0,50526442.0,-,2875.0
HCCS,3052,NC_000023.11,11111332.0,11123086.0,+,11755.0
NDUFB11,54539,NC_000023.11,47142216.0,47145491.0,-,3276.0
HSD17B10,3028,NC_000023.11,53431258.0,53434376.0,-,3119.0
COX7B,1349,NC_000023.11,77899468.0,77907376.0,+,7909.0
GLA,2717,NC_000023.11,101397803.0,101407925.0,-,10123.0
LAMP2,3920,NC_000023.11,120426148.0,120469349.0,-,43202.0
FHL1,,,,,,
NAA10,8260,NC_000023.11,153929225.0,153935037.0,-,5813.0
TAFAZZIN,6901,NC_000023.11,154411539.0,154421726.0,+,10188.0
MT-TL1,4567,NC_012920.1,3230.0,3304.0,+,75.0
MT-CO2,4513,NC_012920.1,7586.0,8269.0,+,684.0
MT-ATP6,4508,NC_012920.1,8527.0,9207.0,+,681.0
